,acousticness,album,artist,danceability,duration_ms,energy,genre,id,instrumentalness,key,liveness,loudness,mode,popularity,speechiness,tempo,time_signature,title,type,valence
0,0.0567,JACKBOYS,Travis Scott,0.559,244874.0,0.491,rap,7h0d2h0fUmzbs7zeFigJPn,0.0,2.0,0.0992,-6.406,0.0,82.0,0.0346,153.131,4.0,b'HIGHEST IN THE ROOM (feat. ROSAL\xc3\x8dA & Lil Baby) - REMIX',audio_features,0.114
1,0.9,JACKBOYS,Travis Scott,0.413,46837.0,0.13,rap,62zKJrpbLxz6InR3tGyr7o,0.82,0.0,0.111,-25.166,0.0,68.0,0.0336,123.342,1.0,b'JACKBOYS',audio_features,0.0676
2,0.071,JACKBOYS,Travis Scott,0.859,244761.0,0.6,rap,6uJONCdr2rC65BNmCnTBWK,0.0,7.0,0.353,-4.63,0.0,79.0,0.301,123.017,4.0,b'GANG GANG',audio_features,0.568
3,0.253,JACKBOYS,Travis Scott,0.75,157133.0,0.789,rap,7LGWmZaoS7jZJ5tEi9EcDi,0.0,2.0,0.129,-4.578,1.0,76.0,0.108,147.957,4.0,b'HAD ENOUGH (feat. Quavo & Offset)',audio_features,0.673
4,0.0104,JACKBOYS,Travis Scott,0.802,157712.0,0.591,rap,6gi6y1xwmVszDWkUqab1qw,0.0,8.0,0.196,-4.895,1.0,88.0,0.225,139.864,4.0,b'OUT WEST (feat. Young Thug)',audio_features,0.309
5,0.0695,JACKBOYS,Travis Scott,0.643,250142.0,0.594,rap,4AO1XhrgJczQ9bNVxdfKQe,1.46e-05,9.0,0.115,-5.191,0.0,78.0,0.0312,118.037,4.0,b'WHAT TO DO? (feat. Don Toliver)',audio_features,0.195
6,0.135,JACKBOYS,Travis Scott,0.594,181145.0,0.676,rap,40mjsnRjCpycdUw3xhS20g,0.0,2.0,0.163,-5.808,1.0,81.0,0.344,143.477,4.0,b'GATTI',audio_features,0.472
7,0.104,Antisocial (with Travis Scott) [MK Remix],Travis Scott,0.796,179502.0,0.868,rap,1qf82BwoRe9zdLvyvx7oGP,0.00024,10.0,0.115,-5.774,0.0,63.0,0.0992,124.981,4.0,b'Antisocial (with Travis Scott) - MK Remix',audio_features,0.586
8,0.383,Antisocial (with Travis Scott) [Steel Banglez & Zeph Ellis Remix],Travis Scott,0.748,188312.0,0.566,rap,72McVYThUxWasGByny8wE5,6.19e-06,10.0,0.236,-10.174,0.0,49.0,0.0998,142.035,4.0,b'Antisocial (with Travis Scott) - Steel Banglez & Zeph Ellis Remix',audio_features,0.701
9,0.174,Antisocial (with Travis Scott) [Ghali Remix],Travis Scott,0.705,226386.0,0.844,rap,3GUEsjyYsxsgk06bkiyYsa,0.0,5.0,0.366,-4.703,0.0,55.0,0.0683,152.033,4.0,b'Antisocial (with Travis Scott) - Ghali Remix',audio_features,0.934
10,0.188,Hot (Remix) [feat. Gunna and Travis Scott],Travis Scott,0.845,279907.0,0.631,rap,56AMYGJzxBO6p8v0wEe9de,0.0,7.0,0.0806,-8.206,0.0,79.0,0.216,111.983,4.0,b'Hot (Remix) [feat. Gunna and Travis Scott]',audio_features,0.545
11,0.0546,HIGHEST IN THE ROOM,Travis Scott,0.598,175721.0,0.427,rap,3eekarcy7kvN4yt5ZFzltW,5.83e-06,7.0,0.21,-8.764,0.0,91.0,0.0317,76.469,4.0,b'HIGHEST IN THE ROOM',audio_features,0.0605
12,0.133,Antisocial (with Travis Scott),Travis Scott,0.715,161747.0,0.823,rap,7mb1IkA4MKjjh8KHSzOEB2,0.0,5.0,0.361,-5.313,0.0,64.0,0.0495,151.956,4.0,b'Antisocial (with Travis Scott)',audio_features,0.91
13,0.0247,The London,Travis Scott,0.796,200107.0,0.586,rap,7DcvwMAiqKJQD1rrdfxSDx,0.0,4.0,0.132,-6.946,0.0,80.0,0.147,97.981,4.0,b'The London (feat. J. Cole & Travis Scott)',audio_features,0.179
14,0.765,Care Package,Drake,0.423,253803.0,0.587,canadian hip hop,1qyFlfPREPbRcS2BNszdYI,0.0,6.0,0.114,-6.635,1.0,62.0,0.529,180.331,4.0,b'Dreams Money Can Buy',audio_features,0.33
15,0.371,Care Package,Drake,0.631,240957.0,0.788,canadian hip hop,0Tacxc5lDJ8LwiO1pWNSl8,0.000317,4.0,0.108,-7.142,0.0,66.0,0.102,157.769,4.0,b'The Motion',audio_features,0.544
16,0.205,Care Package,Drake,0.789,235566.0,0.404,canadian hip hop,4n4BflhWjCHIxrI4v7Xt9s,0.0,1.0,0.219,-8.364,1.0,66.0,0.23,122.062,4.0,b'How Bout Now',audio_features,0.472
17,0.779,Care Package,Drake,0.421,281519.0,0.539,canadian hip hop,4Wjhj0WjkyECccfHVIgaTq,0.0,11.0,0.111,-5.456,0.0,69.0,0.274,89.177,3.0,b'Trust Issues',audio_features,0.523
18,0.348,Care Package,Drake,0.733,353698.0,0.361,canadian hip hop,4czcw3NVLY0of5hTD7OufN,0.000285,1.0,0.0942,-11.129,1.0,60.0,0.135,94.902,4.0,b'Days in The East',audio_features,0.0361
19,0.0322,Care Package,Drake,0.673,266325.0,0.81,canadian hip hop,3W3FVHEDetkiRkkGKDmdir,0.0,8.0,0.133,-3.793,1.0,58.0,0.36,166.084,4.0,b'Draft Day',audio_features,0.564
20,0.115,Care Package,Drake,0.743,240218.0,0.66,canadian hip hop,6C9SwoZ5OrxcvkntgA5t8s,0.0,4.0,0.101,-4.802,0.0,61.0,0.418,192.031,4.0,b'4pm in Calabasas',audio_features,0.549
21,0.0678,Care Package,Drake,0.555,205264.0,0.88,canadian hip hop,0FnxK9FEAQyPJ284QcieNb,0.0,11.0,0.0723,-4.325,0.0,60.0,0.265,87.195,4.0,b'5 Am in Toronto',audio_features,0.391
22,0.706,Care Package,Drake,0.477,253562.0,0.501,canadian hip hop,3sMC6vfTTSa0mMAPTwzDVD,5.61e-06,11.0,0.0953,-9.178,0.0,58.0,0.0398,81.376,4.0,b'I Get Lonely',audio_features,0.689
23,0.603,Care Package,Drake,0.549,294651.0,0.495,canadian hip hop,4alHkxxwAhvoGg3dJCATKV,7.26e-06,6.0,0.0979,-5.661,0.0,55.0,0.133,81.012,4.0,b'My Side',audio_features,0.385
24,0.0111,Care Package,Drake,0.498,254022.0,0.844,canadian hip hop,2xUHiyGeGrWmmfv7NbDTWC,0.0,2.0,0.102,-2.834,1.0,56.0,0.268,88.435,4.0,b'Jodeci Freestyle (feat. J. Cole)',audio_features,0.282
25,0.758,Care Package,Drake,0.338,283816.0,0.729,canadian hip hop,6MR5IBSNfDmiwnrlQpVw4w,3.24e-05,6.0,0.18,-6.419,0.0,58.0,0.102,184.174,4.0,b'Club Paradise',audio_features,0.543
26,0.281,Care Package,Drake,0.508,252884.0,0.748,canadian hip hop,18t8ypY0HYaQuGBxg2KdT2,0.0,1.0,0.168,-4.997,1.0,55.0,0.33,100.414,3.0,b'Free Spirit (feat. Rick Ross)',audio_features,0.225
27,0.179,Care Package,Drake,0.641,343455.0,0.454,canadian hip hop,27Tqjd2nMW2mIp6Yk1ovwY,0.000116,5.0,0.065,-8.344,0.0,53.0,0.133,78.036,4.0,b'Heat Of The Moment',audio_features,0.302
28,0.782,Care Package,Drake,0.619,225012.0,0.489,canadian hip hop,56NDFbD0tCUawnqeU2wcvv,0.0,11.0,0.106,-11.25,0.0,62.0,0.46,126.046,4.0,b'Girls Love Beyonc\xc3\xa9 (feat. James Fauntleroy)',audio_features,0.328
29,0.414,Care Package,Drake,0.505,251240.0,0.494,canadian hip hop,73IE87H0g2MBmdn41lkVto,7.98e-05,10.0,0.105,-8.635,0.0,57.0,0.315,171.978,4.0,b'Paris Morton Music',audio_features,0.141
30,0.484,Care Package,Drake,0.643,189289.0,0.178,canadian hip hop,3e0ZGE7Gp034iLknjQk4QW,0.0108,4.0,0.122,-8.56,0.0,59.0,0.0588,85.042,4.0,b'Can I',audio_features,0.0674
31,0.939,So Far Gone,Drake,0.462,176179.0,0.422,canadian hip hop,1v24T2ug4TlssYZvI3aL4O,0.0327,6.0,0.108,-10.381,1.0,60.0,0.175,87.364,4.0,b'Lust For Life',audio_features,0.0853
32,0.393,So Far Gone,Drake,0.683,290791.0,0.695,canadian hip hop,3XLSlQLJf3Ut0zvMUxnF1h,0.00124,1.0,0.124,-6.798,0.0,61.0,0.0574,135.337,4.0,b'Houstatlantavegas',audio_features,0.406
33,0.536,So Far Gone,Drake,0.562,375050.0,0.544,canadian hip hop,6NwhtCYkfwWlcR62Ac4E7y,0.0,8.0,0.17,-5.065,1.0,62.0,0.369,159.517,4.0,b'Successful (feat. Trey Songz & Lil Wayne)',audio_features,0.231
34,0.00427,So Far Gone,Drake,0.79,234176.0,0.731,canadian hip hop,4FDSPGncHRpr6yB8DD4CtI,0.29,9.0,0.157,-4.607,0.0,53.0,0.0327,127.403,4.0,b'Let\xe2\x80\x99s Call It Off (feat. Peter Bjorn and John)',audio_features,0.938
35,0.579,So Far Gone,Drake,0.749,188189.0,0.476,canadian hip hop,0JaVdpmiex2EP7bBzyKVTa,0.0,11.0,0.1,-11.147,0.0,62.0,0.507,71.937,4.0,b'November 18th',audio_features,0.534
36,0.186,So Far Gone,Drake,0.591,302492.0,0.846,canadian hip hop,2hcohLIysMxofYziluXCoX,0.0,7.0,0.463,-3.687,1.0,60.0,0.276,94.795,4.0,b'Ignant Shit (feat. Lil Wayne)',audio_features,0.121
37,0.374,So Far Gone,Drake,0.611,193963.0,0.508,canadian hip hop,3lkkkYc1wBj5l3FVlpqvP6,3.87e-06,11.0,0.168,-5.573,0.0,51.0,0.0741,103.612,4.0,b'A Night Off (feat. Lloyd)',audio_features,0.368
38,0.632,So Far Gone,Drake,0.462,230717.0,0.773,canadian hip hop,7mPoCVGP752A5DtHf1SKkM,0.0,8.0,0.212,-5.375,1.0,51.0,0.288,86.157,4.0,"b""Say What's Real""",audio_features,0.455
39,0.0999,So Far Gone,Drake,0.758,230484.0,0.888,canadian hip hop,524wvipGqxPKYWxkjf9y46,0.0336,11.0,0.661,-4.899,0.0,55.0,0.0374,120.392,4.0,b'Little Bit (feat. Lykke Li)',audio_features,0.771
40,0.19,So Far Gone,Drake,0.395,257690.0,0.922,canadian hip hop,3QLjDkgLh9AOEHlhQtDuhs,0.0,1.0,0.134,-2.176,1.0,66.0,0.375,162.361,4.0,b'Best I Ever Had',audio_features,0.558
41,0.165,So Far Gone,Drake,0.774,209957.0,0.912,canadian hip hop,2TWSilrWcTrgVKcP8kfEfg,0.0,2.0,0.745,-2.787,0.0,50.0,0.347,150.083,4.0,b'Unstoppable (feat. Santigold & Lil Wayne)',audio_features,0.821
42,0.00391,So Far Gone,Drake,0.416,382262.0,0.824,canadian hip hop,0q7LGcVSpsIoSbjChtZ8lI,0.0,1.0,0.104,-3.075,1.0,62.0,0.343,85.433,5.0,b'Uptown (feat. Bun B & Lil Wayne)',audio_features,0.417
43,0.178,So Far Gone,Drake,0.616,262047.0,0.501,canadian hip hop,43iKgGbmfqPLh3mxUlospI,1.2e-05,5.0,0.105,-5.722,0.0,52.0,0.24,94.554,4.0,b'Sooner Than Later',audio_features,0.506
44,0.209,So Far Gone,Drake,0.49,139575.0,0.507,canadian hip hop,4i3GraNMzBKze1WsVl38DS,0.00104,2.0,0.119,-6.205,0.0,54.0,0.0849,147.037,3.0,"b""Bria's Interlude (feat. Omarion)""",audio_features,0.237
45,0.819,So Far Gone,Drake,0.471,243724.0,0.784,canadian hip hop,6MlGqWzDiLkZ0vmAEsisEk,1.13e-05,11.0,0.107,-8.25,0.0,50.0,0.883,160.833,4.0,b'The Calm',audio_features,0.258
46,0.988,So Far Gone,Drake,0.397,174398.0,0.0906,canadian hip hop,6hHKFReuQR9VQp39ev43wY,0.856,5.0,0.344,-21.655,1.0,48.0,0.054,185.167,4.0,b'Outro (feat. Chilly Gonzales)',audio_features,0.136
47,0.631,So Far Gone,Drake,0.399,213492.0,0.491,canadian hip hop,4XTXamS1g4g93jPxyuFJJ6,0.0,6.0,0.171,-8.992,1.0,59.0,0.0714,94.542,3.0,b'Brand New',audio_features,0.356
48,0.0185,So Far Gone,Drake,0.333,332530.0,0.859,canadian hip hop,3SnXwQUrvSacFziUYXTNKY,0.0,6.0,0.22,-2.286,1.0,58.0,0.148,86.882,5.0,b'Congratulations',audio_features,0.125
49,0.0342,KIRK,DaBaby,0.862,172800.0,0.685,nc hip hop,77KMttn3Lic7ZQKDlPqp8v,0.0,0.0,0.204,-7.699,0.0,75.0,0.242,100.024,4.0,b'INTRO',audio_features,0.672
50,0.0104,KIRK,DaBaby,0.801,115610.0,0.693,nc hip hop,3e39X4Q74yJzsYUEeyf4ws,0.0,0.0,0.376,-4.002,1.0,67.0,0.323,164.084,4.0,b'OFF THE RIP',audio_features,0.602
51,0.189,KIRK,DaBaby,0.769,159715.0,0.787,nc hip hop,6Ozh9Ok6h4Oi1wUSLtBseN,0.0,11.0,0.129,-3.909,1.0,88.0,0.367,126.77,4.0,b'BOP',audio_features,0.836
52,0.113,KIRK,DaBaby,0.768,144935.0,0.652,nc hip hop,0fySG6A6qLE8IvDpayb5bM,0.0,1.0,0.107,-2.708,0.0,85.0,0.307,154.187,4.0,b'VIBEZ',audio_features,0.777
53,0.0242,KIRK,DaBaby,0.815,183145.0,0.76,nc hip hop,2TsD9kSbgYx5fSNRsoNURE,0.0,6.0,0.203,-4.632,1.0,69.0,0.331,81.537,4.0,b'POP STAR (feat. Kevin Gates)',audio_features,0.729
54,0.0387,KIRK,DaBaby,0.676,214893.0,0.664,nc hip hop,0WoAkdHmgPmEXfiBox1flk,0.0,8.0,0.0475,-4.435,1.0,65.0,0.343,161.867,4.0,"b'GOSPEL (feat. Chance The Rapper, Gucci Mane & YK Osiris)'",audio_features,0.838
55,0.243,KIRK,DaBaby,0.733,191920.0,0.574,nc hip hop,3GX2hFAekmSduZzcS52OnR,0.0,1.0,0.231,-6.409,0.0,65.0,0.266,159.987,4.0,b'iPHONE (with Nicki Minaj)',audio_features,0.305
56,0.0794,KIRK,DaBaby,0.816,136366.0,0.582,nc hip hop,2FvD20Z8aoWIePi7PoN8sG,5.84e-06,8.0,0.0916,-4.141,1.0,85.0,0.341,160.004,4.0,b'TOES (feat. Lil Baby & Moneybagg Yo)',audio_features,0.542
57,0.0552,KIRK,DaBaby,0.943,139500.0,0.654,nc hip hop,7vxGCUPJhe0fXfBkwVPFcP,0.0,1.0,0.0893,-5.175,1.0,65.0,0.274,100.091,4.0,b'REALLY (feat. Stunna 4 Vegas)',audio_features,0.608
58,0.0744,KIRK,DaBaby,0.884,143226.0,0.783,nc hip hop,0O7mJ0noFBLn8MMUJrFaF1,0.0,1.0,0.12,-2.388,1.0,64.0,0.294,124.052,4.0,b'PROLLY HEARD',audio_features,0.929
59,0.0273,KIRK,DaBaby,0.874,216678.0,0.714,nc hip hop,1CCDIow4pPYyJYzhtTUYz2,0.0,5.0,0.356,-4.946,1.0,70.0,0.233,130.046,4.0,b'RAW SHIT (feat. Migos)',audio_features,0.85
60,0.339,KIRK,DaBaby,0.836,143296.0,0.747,nc hip hop,0pegcONe6MuDQRoPCtCBRf,0.0,1.0,0.0739,-3.368,0.0,64.0,0.136,84.435,4.0,b'THERE HE GO',audio_features,0.758
61,0.00245,KIRK,DaBaby,0.914,153863.0,0.655,nc hip hop,4LH1gsNA3wUS6QKkGZoJN8,0.0,6.0,0.0817,-5.333,0.0,65.0,0.294,143.975,4.0,b'XXL',audio_features,0.705
62,0.00366,Baby On Baby,DaBaby,0.802,118360.0,0.738,nc hip hop,6B4KWBeFdHrpVezjTqggWr,0.0,0.0,0.223,-5.287,0.0,65.0,0.167,151.07,4.0,b'Taking It Out',audio_features,0.484
63,0.0608,Baby On Baby,DaBaby,0.876,163320.0,0.662,nc hip hop,2gwkD6igEhQbDQegRCcdoB,0.0,2.0,0.127,-6.482,0.0,84.0,0.426,75.445,4.0,b'Suge',audio_features,0.844
64,0.128,Baby On Baby,DaBaby,0.755,141827.0,0.772,nc hip hop,3WyRgi8CzQnhzO0xw79tTS,0.0,6.0,0.157,-5.585,1.0,77.0,0.4,132.906,4.0,b'Goin Baby',audio_features,0.678
